timestamp,open,high,low,close,volume
2024-01-01T00:00:00,100.0,100.1597,99.8333,100.0981,954.2222
2024-01-01T00:01:00,100.0981,100.4033,100.0559,100.2965,1092.6838
2024-01-01T00:02:00,100.2965,100.4459,100.2518,100.3249,964.2413
2024-01-01T00:03:00,100.3249,100.7226,100.2689,100.5189,1075.6981
2024-01-01T00:04:00,100.5189,101.037,100.3678,100.808,1164.7924
2024-01-01T00:05:00,100.808,101.2862,100.5977,101.2464,1226.2735
2024-01-01T00:06:00,101.2464,101.4392,101.1516,101.3844,1212.8714
2024-01-01T00:07:00,101.3844,101.7029,101.2203,101.5508,1162.9045
2024-01-01T00:08:00,101.5508,101.9129,101.5083,101.8697,1215.0214
2024-01-01T00:09:00,101.8697,102.3704,101.7737,102.2506,1327.3868
2024-01-01T00:10:00,102.2506,102.6481,102.0538,102.5552,1333.7248
2024-01-01T00:11:00,102.5552,102.9391,102.4149,102.7885,1353.5212
2024-01-01T00:12:00,102.7885,103.3032,102.5527,103.2127,1315.4121
2024-01-01T00:13:00,103.2127,103.7121,103.1508,103.5231,1352.3991
2024-01-01T00:14:00,103.5231,103.8625,103.3326,103.6922,1326.1537
2024-01-01T00:15:00,103.6922,104.2756,103.5162,104.1797,1481.7299
2024-01-01T00:16:00,104.1797,104.6793,103.9733,104.5535,1515.0313
2024-01-01T00:17:00,104.5535,105.0531,104.5107,104.8836,1470.9415
2024-01-01T00:18:00,104.8836,105.5127,104.681,105.2741,1439.235
2024-01-01T00:19:00,105.2741,105.7283,105.2394,105.5579,1444.2798
2024-01-01T00:20:00,105.5579,105.8041,105.5155,105.7495,1478.7519
2024-01-01T00:21:00,105.7495,105.997,105.6374,105.915,1504.3861
2024-01-01T00:22:00,105.915,106.1732,105.7696,106.0488,1511.2129
2024-01-01T00:23:00,106.0488,106.6598,105.9604,106.4484,1556.5591
2024-01-01T00:24:00,106.4484,106.8719,106.2173,106.6562,1446.4686
2024-01-01T00:25:00,106.6562,106.8552,106.5772,106.7765,1487.7875
2024-01-01T00:26:00,106.7765,107.119,106.7456,107.0339,1551.5133
2024-01-01T00:27:00,107.0339,107.3355,106.8037,107.1866,1574.446
2024-01-01T00:28:00,107.1866,107.5324,107.0146,107.3727,1491.856
2024-01-01T00:29:00,107.3727,107.8751,107.159,107.6813,1695.246
2024-01-01T00:30:00,107.6813,107.8868,107.6296,107.773,1592.6822
2024-01-01T00:31:00,107.773,107.8171,107.6404,107.7143,1511.8764
2024-01-01T00:32:00,107.7143,107.7766,107.6842,107.7356,1512.1866
2024-01-01T00:33:00,107.7356,107.842,107.605,107.6404,1691.3769
2024-01-01T00:34:00,107.6404,107.775,107.5574,107.7138,1605.383
2024-01-01T00:35:00,107.7138,107.7696,107.4579,107.6662,1098.7607
2024-01-01T00:36:00,107.6662,107.7978,107.5833,107.6313,951.0465
2024-01-01T00:37:00,107.6313,107.7169,107.3199,107.5239,1010.1568
2024-01-01T00:38:00,107.5239,107.7536,107.1291,107.27,1087.0233
2024-01-01T00:39:00,107.27,107.3057,107.0485,107.1894,1182.0062
2024-01-01T00:40:00,107.1894,107.3831,107.1046,107.2069,1063.3455
2024-01-01T00:41:00,107.2069,107.399,106.7954,106.9373,1261.4645
2024-01-01T00:42:00,106.9373,107.0141,106.5077,106.7081,1299.515
2024-01-01T00:43:00,106.7081,106.9074,106.4559,106.6578,1198.3275
2024-01-01T00:44:00,106.6578,106.7965,106.2464,106.3511,1196.0269
2024-01-01T00:45:00,106.3511,106.4398,105.8675,105.952,1372.2893
2024-01-01T00:46:00,105.952,106.0759,105.6637,105.8905,1301.6568
2024-01-01T00:47:00,105.8905,105.9971,105.7388,105.8151,1188.4965
